text,reading,rank
防御,ぼうぎょ,3306
五十,ごじゅう,3309
彼氏,かれし,3311
筋肉,きんにく,3312
紅茶,こうちゃ,3313
衣装,いしょう,3314
充分,じゅうぶん,3319
空中,くうちゅう,3325
生物,せいぶつ,3327
合流,ごうりゅう,3328
再会,さいかい,3331
二階,にかい,3333
仕草,しぐさ,3334
回転,かいてん,3335
師匠,ししょう,3336
待機,たいき,3339
完了,かんりょう,3342
手元,てもと,3343
動作,どうさ,3348
暴走,ぼうそう,3350
台詞,せりふ,3356
女神,めがみ,3358
片方,かたほう,3359
反論,はんろん,3360
返答,へんとう,3361
黒髪,くろかみ,3362
大会,たいかい,3363
装備,そうび,3369
異様,いよう,3370
戦力,せんりょく,3372
体勢,たいせい,3373
後方,こうほう,3374
暗闇,くらやみ,3376
屋上,おくじょう,3379
曖昧,あいまい,3380
身分,みぶん,3402
都市,とし,3404
第三,だいさん,3405
旦那,だんな,3407
歓声,かんせい,3411
時刻,じこく,3412
手首,てくび,3418
素材,そざい,3420
広場,ひろば,3422
表示,ひょうじ,3426
復讐,ふくしゅう,3431
妄想,もうそう,3432
変態,へんたい,3433
宝石,ほうせき,3434
拘束,こうそく,3437
理屈,りくつ,3442
英雄,えいゆう,3444
先端,せんたん,3445
前方,ぜんぽう,3449
襲撃,しゅうげき,3453
故郷,こきょう,3458
崩壊,ほうかい,3459
背筋,せすじ,3462
推測,すいそく,3464
選手,せんしゅ,3465
現象,げんしょう,3469
三年,さんねん,3473
一旦,いったん,3503
寸前,すんぜん,3506
四十,よんじゅう,3510
正義,せいぎ,3511
胸元,むなもと,3512
皮肉,ひにく,3518
幽霊,ゆうれい,3531
封印,ふういん,3534
獲物,えもの,3535
若干,じゃっかん,3536
候補,こうほ,3537
再生,さいせい,3539
女王,じょおう,3543
怪物,かいぶつ,3558
仮面,かめん,3565
宇宙,うちゅう,3571
金髪,きんぱつ,3572
二日,ふつか,3578
犯罪,はんざい,3579
外見,がいけん,3581
接近,せっきん,3584
演技,えんぎ,3585
解除,かいじょ,3602
地味,じみ,3604
自殺,じさつ,3606
灰色,はいいろ,3608
倉庫,そうこ,3610
金色,きんいろ,3611
幸福,こうふく,3612
儀式,ぎしき,3618
中学,ちゅうがく,3620
本心,ほんしん,3621
尻尾,しっぽ,3623
消滅,しょうめつ,3624
耳元,みみもと,3625
本音,ほんね,3628
一族,いちぞく,3631
欲望,よくぼう,3635
配置,はいち,3636
田舎,いなか,3638
会長,かいちょう,3639
